ax,ay,az,gx,gy,gz,mx,my,mx
-2.84431,-3.63919,4.86502,0.890756,1.52078,0.647048,11.185,45.2139,34.6254
-2.7677,-3.61046,4.97515,0.89927,1.50801,0.653434,11.185,45.2139,34.6254
-2.84431,-3.62482,4.97515,0.914169,1.49949,0.658755,11.185,45.2139,34.6254
-2.78685,-3.53384,4.96079,0.930132,1.49311,0.664076,11.185,45.2139,34.6254
-2.77249,-3.7589,4.88896,0.934389,1.47714,0.664076,11.185,45.2139,34.6254
-2.77727,-3.5913,4.94642,0.935453,1.46757,0.668333,11.185,45.2139,34.6254
-2.81558,-3.58173,5.04219,0.945031,1.45905,0.669397,11.185,45.2139,34.6254
-2.78206,-3.5099,4.93206,0.962059,1.44841,0.673654,11.185,45.2139,34.6254
-2.82995,-3.54821,4.90811,0.973765,1.4399,0.677911,11.185,45.2139,34.6254
-2.89698,-3.54821,4.88417,0.980151,1.43138,0.678975,11.185,45.2139,34.6254
-2.86825,-3.51948,4.956,0.985472,1.42074,0.677911,11.185,45.2139,34.6254
-2.90177,-3.50032,4.90333,0.996114,1.40903,0.680039,11.185,45.2139,34.6254
-3.02627,-3.39977,5.05177,1.00037,1.39626,0.677911,11.185,45.2139,34.6254
-2.93529,-3.49553,5.11401,1.00888,1.38562,0.683232,11.185,45.2139,34.6254
-3.07415,-3.39977,4.96079,1.0174,1.37391,0.686425,11.185,45.2139,34.6254
-3.00233,-3.38061,4.84586,1.02485,1.35795,0.69281,11.185,45.2139,34.6254
-3.04064,-3.40455,5.13796,1.03443,1.34731,0.69281,11.185,45.2139,34.6254
-3.05979,-3.41413,5.04698,1.03762,1.33454,0.69281,11.185,45.2139,34.6254
-3.05979,-3.41413,4.98952,1.044,1.32389,0.69281,11.185,45.2139,34.6254
-3.14119,-3.27048,4.93206,1.05145,1.31219,0.693874,11.185,45.2139,34.6254
-3.01669,-3.35188,5.00867,1.05358,1.30048,0.699195,11.185,45.2139,34.6254
-3.16992,-3.304,4.98952,1.05784,1.28665,0.702388,11.185,45.2139,34.6254
-3.13162,-3.43329,4.88417,1.06316,1.26749,0.702388,11.185,45.2139,34.6254
-3.07415,-3.34231,4.99909,1.06848,1.25472,0.702388,11.185,45.2139,34.6254
-3.11725,-3.3854,4.96079,1.07912,1.23982,0.705581,11.185,45.2139,34.6254
-3.11725,-3.34231,4.95121,1.07593,1.21854,0.710902,11.185,45.2139,34.6254
-3.20823,-3.28963,4.97515,1.07806,1.20044,0.714095,11.185,45.2139,34.6254
-3.10767,-3.21781,5.00867,1.08125,1.1898,0.716223,11.185,45.2139,34.6254
-3.15077,-3.21781,4.7884,1.08657,1.17384,0.718351,11.185,45.2139,34.6254
-3.21781,-3.2226,4.86023,1.09083,1.15681,0.717287,11.185,45.2139,34.6254
-3.21781,-3.19387,4.82192,1.08764,1.13978,0.716223,11.185,45.2139,34.6254
-3.25611,-3.0981,4.73573,1.09296,1.12169,0.72048,11.185,45.2139,34.6254
-3.23217,-3.14119,4.79798,1.09615,1.10147,0.725801,11.185,45.2139,34.6254
-3.39019,-3.07415,4.956,1.09615,1.08338,0.727929,11.185,45.2139,34.6254
-3.28484,-3.03106,4.71658,1.09615,1.06529,0.735379,11.185,45.2139,34.6254
-3.25611,-2.99754,4.956,1.10041,1.04933,0.741764,11.185,45.2139,34.6254
-3.37104,-2.98796,4.86981,1.10147,1.03336,0.74815,11.185,45.2139,34.6254
-3.32794,-2.95444,4.71179,1.10147,1.01633,0.751342,11.185,45.2139,34.6254
-3.36625,-3.01191,4.87459,1.1036,0.99505,0.754535,11.185,45.2139,34.6254
-3.39498,-2.98796,5.02304,1.10254,0.976958,0.763049,11.185,45.2139,34.6254
-3.41892,-2.91614,4.86981,1.09509,0.960995,0.767306,11.185,45.2139,34.6254
-3.5099,-2.90656,4.7884,1.10041,0.938646,0.772627,11.185,45.2139,34.6254
-3.60567,-2.86825,4.78362,1.10254,0.920554,0.780076,11.185,45.2139,34.6254
-3.553,-2.90656,4.87459,1.10466,0.903526,0.789654,11.185,45.2139,34.6254
-3.55778,-2.91135,4.99909,1.1036,0.885435,0.78859,11.185,45.2139,34.6254
-3.58651,-2.87304,4.9129,1.1036,0.866279,0.793911,11.185,45.2139,34.6254
-3.66313,-2.66714,4.89854,1.10679,0.84393,0.802425,6.74648,52.8984,34.1086
-3.66313,-2.76291,5.04698,1.10786,0.825838,0.810939,6.74648,52.8984,34.1086
-3.56736,-2.80122,4.92248,1.10573,0.807746,0.819453,6.74648,52.8984,34.1086
-3.70622,-2.71502,4.94642,1.10466,0.790719,0.824774,6.74648,52.8984,34.1086
-3.73495,-2.63841,4.956,1.10679,0.774755,0.833288,6.74648,52.8984,34.1086
-3.58651,-2.60968,4.97036,1.11105,0.752407,0.834352,6.74648,52.8984,34.1086
-3.63919,-2.66714,5.01825,1.1185,0.731122,0.844994,6.74648,52.8984,34.1086
-3.62961,-2.58574,5.12359,1.11744,0.71303,0.851379,6.74648,52.8984,34.1086
-3.72059,-2.58095,5.0805,1.11105,0.693874,0.849251,6.74648,52.8984,34.1086
-3.87861,-2.62405,5.13317,1.11424,0.681104,0.856701,6.74648,52.8984,34.1086
-3.85466,-2.54264,5.38217,1.11318,0.659819,0.867343,6.74648,52.8984,34.1086
-3.91213,-2.5618,5.39174,1.10999,0.63747,0.876921,6.74648,52.8984,34.1086
-3.87861,-2.5187,5.29597,1.11211,0.61725,0.883306,6.74648,52.8984,34.1086
-3.89776,-2.5187,5.2864,1.11424,0.600222,0.879049,6.74648,52.8984,34.1086
-3.77805,-2.59531,5.26724,1.11531,0.581066,0.883306,6.74648,52.8984,34.1086
-3.86903,-2.44687,5.29119,1.11424,0.560846,0.889691,6.74648,52.8984,34.1086
-3.83072,-2.40857,5.36301,1.11105,0.545947,0.895013,6.74648,52.8984,34.1086
-3.90734,-2.42293,5.39174,1.11211,0.528919,0.901398,6.74648,52.8984,34.1086
-3.9217,-2.34632,5.31992,1.11318,0.503378,0.904591,6.74648,52.8984,34.1086
-4.01268,-2.36068,5.50188,1.10679,0.487415,0.909912,6.74648,52.8984,34.1086
-3.89297,-2.30322,5.41568,1.10573,0.469323,0.910976,6.74648,52.8984,34.1086
-3.91213,-2.28407,5.40132,1.11211,0.450167,0.91204,6.74648,52.8984,34.1086
-3.96001,-2.23618,5.40611,1.10679,0.435268,0.917361,6.74648,52.8984,34.1086
-3.94086,-2.15957,5.48751,1.1036,0.419304,0.920554,6.74648,52.8984,34.1086
-3.91213,-2.24097,5.29597,1.10679,0.402277,0.926939,6.74648,52.8984,34.1086
-3.94564,-2.19788,5.46357,1.1036,0.384185,0.922682,6.74648,52.8984,34.1086
-3.95522,-2.09253,5.46836,1.10254,0.373543,0.925875,6.74648,52.8984,34.1086
-3.98874,-1.85311,5.51145,1.10041,0.354387,0.931196,6.74648,52.8984,34.1086
-3.93607,-1.92973,5.45878,1.09934,0.336295,0.935453,6.74648,52.8984,34.1086
