ax,ay,az,gx,gy,gz,mx,my,mx
-0.0383072,0.411803,9.67736,0.0042569,0.0138349,0.00532112,8.52188,26.0918,38.932
-0.0526724,0.387861,9.57202,0.00851379,0.0138349,0.0106422,8.52188,26.0918,38.932
-0.0766145,0.45011,9.48583,0.00638535,0.0148991,0.00638535,8.52188,26.0918,38.932
-0.153229,0.373495,9.50977,0.00638535,0.0138349,0.00851379,8.52188,26.0918,38.932
-0.0766145,0.363919,9.48583,0.00957802,0.0148991,0.0106422,8.52188,26.0918,38.932
-0.138864,0.35913,9.37569,0.00851379,0.0148991,0.00638535,8.52188,26.0918,38.932
-0.0861913,0.316035,9.65342,0.00744957,0.0106422,0.0042569,8.52188,26.0918,38.932
-0.071826,0.397437,9.54808,0.00744957,0.0138349,0.00851379,8.52188,26.0918,38.932
-0.0287304,0.435745,9.61511,0.0042569,0.0148991,0.0106422,8.52188,26.0918,38.932
-0.0670376,0.416591,9.5385,0.00957802,0.0148991,0.00532112,8.52188,26.0918,38.932
-0.110133,0.493206,9.51456,0.00532112,0.0117065,0.00532112,8.52188,26.0918,38.932
-0.105345,0.397437,9.46188,0.0106422,0.0106422,0.00638535,8.52188,26.0918,38.932
-0.0526724,0.373495,9.5816,0.00957802,0.0117065,0.00957802,8.52188,26.0918,38.932
-0.071826,0.311246,9.50977,0.0117065,0.0127707,0.00532112,8.52188,26.0918,38.932
-0.158017,0.383072,9.4954,0.00851379,0.0117065,0.00532112,8.52188,26.0918,38.932
-0.0574608,0.387861,9.48583,0.0042569,0.0127707,0.00744957,8.52188,26.0918,38.932
-0.0574608,0.397437,9.53371,0.00638535,0.0106422,0.00851379,8.52188,26.0918,38.932
-0.0909797,0.435745,9.44273,0.00638535,0.0138349,0.00957802,8.52188,26.0918,38.932
-0.0814029,0.325611,9.55765,0.00319267,0.0138349,0.0042569,8.52188,26.0918,38.932
-0.0191536,0.392649,9.51456,0.00744957,0.0138349,0.00851379,8.52188,26.0918,38.932
-0.138864,0.464475,9.45231,0.0042569,0.0138349,0.00744957,8.52188,26.0918,38.932
-0.0670376,0.407014,9.59596,0.0042569,0.0127707,0.0117065,8.52188,26.0918,38.932
-0.071826,0.411803,9.38527,0.00532112,0.0138349,0.00851379,8.52188,26.0918,38.932
-0.158017,0.363919,9.43794,0.00319267,0.0159634,0.0106422,8.52188,26.0918,38.932
-0.124498,0.411803,9.5385,0.00638535,0.0138349,0.0170276,8.52188,26.0918,38.932
-0.114922,0.387861,9.4954,0.00744957,0.0148991,0.00851379,8.52188,26.0918,38.932
-0.158017,0.392649,9.55287,0.00957802,0.0138349,0.00744957,8.52188,26.0918,38.932
-0.0814029,0.42138,9.37569,0.00532112,0.0106422,0.00957802,8.52188,26.0918,38.932
-0.0861913,0.45011,9.58638,0.00532112,0.0159634,0.00744957,8.52188,26.0918,38.932
-0.0909797,0.411803,9.61033,0.00957802,0.019156,0.00957802,8.52188,26.0918,38.932
